author_id,work_id,seq,latin_name,greek_name,latin_title,greek_title,english_title,cts_urn,cts_confirmed,exportable
0007,047,47,Plutarchus,Πλούταρχος,Alexander,,Alexander,urn:cts:greekLit:tlg0007.tlg047,1,1
0007,048,48,Plutarchus,Πλούταρχος,Caesar,,Caesar,urn:cts:greekLit:tlg0007.tlg048,1,1
0007,049,49,Plutarchus,Πλούταρχος,Phocion,,Phocion,urn:cts:greekLit:tlg0007.tlg049,1,1
0007,050,50,Plutarchus,Πλούταρχος,Cato Minor,,Cato the Younger,urn:cts:greekLit:tlg0007.tlg050,1,1
0007,051,51,Plutarchus,Πλούταρχος,Agis et Cleomenes,,Agis and Cleomenes,urn:cts:greekLit:tlg0007.tlg051,1,1
0007,052,52,Plutarchus,Πλούταρχος,Tiberius et Gaius Gracchus,,Tiberius and Caius Gracchus,urn:cts:greekLit:tlg0007.tlg052,1,1
0007,053,53,Plutarchus,Πλούταρχος,Comparison of Agis and Cleomenes and the Gracchi,,Comparison of Agis and Cleomenes and the Gracchi,urn:cts:greekLit:tlg0007.tlg053,1,1
0007,054,54,Plutarchus,Πλούταρχος,Demosthenes,,Demosthenes,urn:cts:greekLit:tlg0007.tlg054,1,1
0007,055,55,Plutarchus,Πλούταρχος,Cicero,,Cicero,urn:cts:greekLit:tlg0007.tlg055,1,1
0007,056,56,Plutarchus,Πλούταρχος,Comparison of Demosthenes with Cicero,,Comparison of Demosthenes and Cicero,urn:cts:greekLit:tlg0007.tlg056,1,1
0007,057,57,Plutarchus,Πλούταρχος,Demetrius,,Demetrius,urn:cts:greekLit:tlg0007.tlg057,1,1
0007,058,58,Plutarchus,Πλούταρχος,Antonius,,Antony,urn:cts:greekLit:tlg0007.tlg058,1,1
0007,059,59,Plutarchus,Πλούταρχος,Comparison of Demetrius and Antony,,Comparison of Demetrius and Antony,urn:cts:greekLit:tlg0007.tlg059,1,1
0007,060,60,Plutarchus,Πλούταρχος,Dion,,Dion,urn:cts:greekLit:tlg0007.tlg060,1,1
0007,061,61,Plutarchus,Πλούταρχος,Brutus,,Brutus,urn:cts:greekLit:tlg0007.tlg061,1,1
0007,062,62,Plutarchus,Πλούταρχος,Comparison of Dion and Brutus,,Comparison of Dion and Brutus,urn:cts:greekLit:tlg0007.tlg062,1,1
0007,063,63,Plutarchus,Πλούταρχος,Aratus,,Aratus,urn:cts:greekLit:tlg0007.tlg063,1,1
0007,064,64,Plutarchus,Πλούταρχος,Artaxerxes,,Artaxerxes,urn:cts:greekLit:tlg0007.tlg064,1,1
0007,065,65,Plutarchus,Πλούταρχος,Galba,,Galba,urn:cts:greekLit:tlg0007.tlg065,1,1
0007,066,66,Plutarchus,Πλούταρχος,Otho,,Otho,urn:cts:greekLit:tlg0007.tlg066,1,1
0007,067,67,Plutarchus,Πλούταρχος,De liberis educandis,Περὶ παίδων ἀγωγῆς,,urn:cts:greekLit:tlg0007.tlg067,1,1
0007,068,68,Plutarchus,Πλούταρχος,Quomodo adolescens poetas audire debeat,Πῶς δεῖ τὸν νέον ποιημάτων ἀκούειν.,,urn:cts:greekLit:tlg0007.tlg068,1,1
0007,069,69,Plutarchus,Πλούταρχος,De recta ratione audiendi,Περὶ τοῦ ἀκούειν.,,urn:cts:greekLit:tlg0007.tlg069,1,1
0007,070,70,Plutarchus,Πλούταρχος,Quomodo adulator ab amico internoscatur,Πῶς ἄν τις διακρίνειε τὸν κόλακα τοῦ φίλοῦ,,urn:cts:greekLit:tlg0007.tlg070,1,1
0007,071,71,Plutarchus,Πλούταρχος,Quomodo quis suos in virtute sentiat profectus,Πῶς ἄν τις αἴσθοιτο ἑαυτοῦ προκόπτοντος ἐπʼ ἀρετή,,urn:cts:greekLit:tlg0007.tlg071,1,1
0007,072,72,Plutarchus,Πλούταρχος,De capienda ex inimicis utilitate,Πῶς ἄν τις ἀπ’ ἐχθρῶν ὠφελοῖτο,,urn:cts:greekLit:tlg0007.tlg072,1,1
0007,073,73,Plutarchus,Πλούταρχος,De amicorum multitudine,Περὶ πολυφιλίας,,urn:cts:greekLit:tlg0007.tlg073,1,1
0007,074,74,Plutarchus,Πλούταρχος,De fortuna,Περὶ τύχης,,urn:cts:greekLit:tlg0007.tlg074,1,1
0007,075,75,Plutarchus,Πλούταρχος,De virtute et vitio,Περὶ ἀρετῆς καὶ κακιάς,,urn:cts:greekLit:tlg0007.tlg075,1,1
0007,076,76,Plutarchus,Πλούταρχος,Consolatio ad Apollonium,Πραμυθητικὸς πρὸς Ἀπολλώνιον,,urn:cts:greekLit:tlg0007.tlg076,1,1
0007,077,77,Plutarchus,Πλούταρχος,De tuenda sanitate praecepta,Ὑγιεινὰ παραγγέλματα,,urn:cts:greekLit:tlg0007.tlg077,1,1
