author_id,author_name_latin,author_name_greek,author_name_english,epitheton,era,source,work_id,title_latin,title_english,title_greek,cts_urn,cts_confirmed
3314,Theodorus II PALAEOLOGUS,,Theodorus II Palaeologus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Argyrobulla,,,urn:cts:greekLit:tlg3314.tlg001,False
3314,Theodorus II PALAEOLOGUS,,Theodorus II Palaeologus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Epistula ad cardinalem Angelum Acciaiolum,,,urn:cts:greekLit:tlg3314.tlg002,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,001,Versus in fratrem Constantini despotam Theodorum Palaeologum,,,urn:cts:greekLit:tlg3315.tlg001,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,002,Encomium in Manuelem et Joannem VIII Palaeologum,,,urn:cts:greekLit:tlg3315.tlg002,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,003,Monodia in mortem Theodori II Palaeologi,,,urn:cts:greekLit:tlg3315.tlg003,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,004,Epistula metrica ad despotam Achaeae et fratrem imperatoris Constantini,,,urn:cts:greekLit:tlg3315.tlg004,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,005,Encomium in imperatorem Joannem Palaeologum,,,urn:cts:greekLit:tlg3315.tlg005,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,006,Panegyricus ad Manuelem et Joannem VIII Palaeologum,,,urn:cts:greekLit:tlg3315.tlg006,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,007,Epitaphius in imperatorem Manuelem II Palaeologum,,,urn:cts:greekLit:tlg3315.tlg007,False
3315,ANONYMA PALAEOLOGICA Encom.,,Anonyma Palaeologica Encom.,,,tlg:post-e;bcdavasconcelos,008,Encomium in imperatorem Manuelem II Palaeologum,,,urn:cts:greekLit:tlg3315.tlg008,False
3316,IOANNES,,Ioannes,Rhet.,,tlg:post-e;bcdavasconcelos,001,Monodia in imperatricem Cleopam,,,urn:cts:greekLit:tlg3316.tlg001,False
3317,Demetrius PALAEOLOGUS,,Demetrius Palaeologus,Rhet.,,tlg:post-e;bcdavasconcelos,001,Argyrobulla,,,urn:cts:greekLit:tlg3317.tlg001,False
3317,Demetrius PALAEOLOGUS,,Demetrius Palaeologus,Rhet.,,tlg:post-e;bcdavasconcelos,002,Epistulae,,,urn:cts:greekLit:tlg3317.tlg002,False
3318,Athanasius LASCARIS,,Athanasius Lascaris,Rhet.,,tlg:post-e;bcdavasconcelos,001,Epistula ad Florentinos pro despota Demetrio Palaeologo,,,urn:cts:greekLit:tlg3318.tlg001,False
3319,JOSEPH,,Joseph,Rhet.,,tlg:post-e;bcdavasconcelos,001,Sermo prosphonematicus in despotam et fratrem nostri imperatoris Demetrium Palaeologum,,,urn:cts:greekLit:tlg3319.tlg001,False
3320,Mattheus PALAEOLOGUS ASANES,,Mattheus Palaeologus Asanes,Rhet.,,tlg:post-e;bcdavasconcelos,001,Epistula ad marcionem Ferrarae Borsonum,,,urn:cts:greekLit:tlg3320.tlg001,False
3321,Joannes VIII PALAEOLOGUS,,Joannes VIII Palaeologus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Epistula ad philosophum Gemistum,,,urn:cts:greekLit:tlg3321.tlg001,False
3321,Joannes VIII PALAEOLOGUS,,Joannes VIII Palaeologus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Chrysobullum de dono laternae et fontis ad Gemistum,,,urn:cts:greekLit:tlg3321.tlg002,False
3321,Joannes VIII PALAEOLOGUS,,Joannes VIII Palaeologus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,003,Chrysobulla pro Florentinis,,,urn:cts:greekLit:tlg3321.tlg003,False
3321,Joannes VIII PALAEOLOGUS,,Joannes VIII Palaeologus,Rhet.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,004,Prostagmata,,,urn:cts:greekLit:tlg3321.tlg004,False
3322,Georgius AMOERUTZES,,Amoerutzes Georgius,Epist. et Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Epistulae,,,urn:cts:greekLit:tlg3322.tlg001,False
3322,Georgius AMOERUTZES,,Amoerutzes Georgius,Epist. et Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Epistula ad Bessarionem,,,urn:cts:greekLit:tlg3322.tlg002,False
3322,Georgius AMOERUTZES,,Amoerutzes Georgius,Epist. et Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,003,Carmina,,,urn:cts:greekLit:tlg3322.tlg003,False
3322,Georgius AMOERUTZES,,Amoerutzes Georgius,Epist. et Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,004,Tractatus philosophicus,,,urn:cts:greekLit:tlg3322.tlg004,False
3322,Georgius AMOERUTZES,,Amoerutzes Georgius,Epist. et Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,005,Sententia data Florentiae,,,urn:cts:greekLit:tlg3322.tlg005,False
3322,Georgius AMOERUTZES,,Amoerutzes Georgius,Epist. et Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,006,"Epistula ad Demetrium, de synodo Florentina  (fort. auctore Georgio Korressio) [Sp.]",,,urn:cts:greekLit:tlg3322.tlg006,False
3326,Matthaeus CHRYSOCEPHALUS,,Matthaeus Chrysocephalus,Poeta,,tlg:post-e;bcdavasconcelos,001,Versus,,,urn:cts:greekLit:tlg3326.tlg001,False
3327,JOASAPH Ephesius,,Joasaph,Phil. et Scr. Eccl.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,De genere sermonis,,,urn:cts:greekLit:tlg3327.tlg001,False
